OrderId,Date,Product,Quantity,UnitPrice,Region,Customer
ORD000001,2024-03-06,Monitor,19,65.68,Central,CUST0493
ORD000002,2023-09-11,Headphones,10,415.66,South,CUST0398
ORD000003,2024-04-23,Webcam,10,984.92,West,CUST0010
ORD000004,2023-02-10,USB Hub,20,1026.82,North,CUST0286
ORD000005,2024-08-16,Wireless Mouse,19,615.38,West,CUST0186
ORD000006,2024-07-23,Monitor,4,548.56,North,CUST0181
ORD000007,2024-04-05,Desk Lamp,13,559.33,West,CUST0316
ORD000008,2023-12-17,Cable Kit,5,1285.81,North,CUST0309
ORD000009,2023-02-10,Webcam,1,78.39,West,CUST0350
ORD000010,2024-05-29,Cable Kit,5,1250.76,East,CUST0056
ORD000011,2023-06-04,SSD,20,996.75,North,CUST0441
ORD000012,2024-08-05,Keyboard,17,1034.49,East,CUST0499
ORD000013,2024-05-04,CPU Cooler,17,343.05,South,CUST0073
ORD000014,2023-11-21,Cable Kit,13,704.37,South,CUST0495
ORD000015,2024-10-01,Laptop Pro,19,539.38,Central,CUST0013
ORD000016,2024-12-26,Laptop Bag,8,45.91,North,CUST0447
ORD000017,2024-10-30,Monitor,16,818.98,East,CUST0350
ORD000018,2024-02-16,Monitor,5,1160.77,South,CUST0114
ORD000019,2024-01-24,Smart Watch,5,699.35,Central,CUST0024
ORD000020,2023-05-17,CPU Cooler,20,127.17,Central,CUST0169
ORD000021,2023-02-20,Tablet Stand,9,582.68,Central,CUST0245
ORD000022,2024-10-25,Desk Lamp,11,270.32,North,CUST0386
ORD000023,2024-01-31,Speaker,18,1186.09,West,CUST0299
ORD000024,2023-03-02,Laptop Pro,19,541.82,West,CUST0340
ORD000025,2024-03-19,Tablet Stand,2,961.3,South,CUST0263
ORD000026,2023-04-17,USB Hub,9,937.81,Central,CUST0132
ORD000027,2024-08-14,Charger,10,256.26,East,CUST0153
ORD000028,2023-03-25,Laptop Pro,5,901.29,West,CUST0161
ORD000029,2023-10-22,Laptop Pro,4,305.13,East,CUST0400
ORD000030,2023-12-30,Smart Watch,18,1138.54,Central,CUST0423
ORD000031,2023-02-01,Smart Watch,10,775.69,Central,CUST0044
ORD000032,2024-06-07,USB Hub,4,727.44,West,CUST0297
ORD000033,2023-05-27,Power Supply,13,394.49,South,CUST0305
ORD000034,2023-10-20,Gaming Mouse,9,438.87,North,CUST0422
ORD000035,2024-06-27,Smart Watch,17,788.55,West,CUST0485
ORD000036,2023-12-08,Keyboard,6,548.32,South,CUST0190
ORD000037,2023-05-31,Desk Lamp,17,988.82,North,CUST0408
ORD000038,2024-03-01,RAM Kit,1,1247.36,East,CUST0432
